"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-0.9,-0.421999979019165,0,1,0.026800000667572,0,1,1
1,0.0829999983310699,0,0,0.629700012207031,0.000600000028498471,0,0
-0.5,-0.183000004291534,0,1,0.242900009155273,0.00260000000707805,0,0
-1,-0.515000009536743,0,1,0.230599994659424,0.00039999998989515,0,0
-0.9,-0.102999997138977,0,0,0.0316000008583069,0.00100000004749745,1,1
-0.5,-0.258999991416931,0,1,0.146700000762939,0.00279999990016222,1,1
-0.7,-0.567999982833862,1,1,1.37559997558594,0.00039999998989515,1,1
-0.9,-0.195000004768372,0,0,0.139700002670288,0.00039999998989515,0,0
-0.9,0.112000000476837,0,1,0.020699999332428,0,1,1
-0.7,0.0439999997615814,0,1,0.0453999996185303,0.00039999998989515,1,1
-0.7,0.164999997615814,0,0,7.30130004882812,0,0,0
-0.7,-0.505999994277954,0,1,0.259899997711182,0.000199999994947575,0,0
-0.9,0.436999988555908,1,1,0.129300003051758,0,1,1
1,-0.128999996185303,0,0,0.0982999992370606,0.000199999994947575,0,0
-0.6,0.209999990463257,0,0,0.178899993896484,0.00039999998989515,1,1
0,0.298000001907349,1,0,0.754300003051758,0.00139999995008111,0,0
1,0.219000005722046,0,0,0.0125999999046326,0.00039999998989515,0,0
-0.8,0.209999990463257,0,0,0.0423000001907349,0.0007999999797903,0,0
-0.9,0.000999999977648258,0,1,0.0981999969482422,0,0,0
-0.7,-0.501000022888184,1,1,0.10039999961853,0,0,0
-0.6,0.201999998092651,0,0,5.28390014648437,0,0,0
-0.8,-1.18299999237061,0,0,2.91220001220703,0,0,0
-0.8,-0.314000010490417,0,0,3.27320007324219,0,0,0
-0.7,0.748000001907349,0,1,0.0553999996185303,0.0007999999797903,0,0
-0.9,-0.342000007629395,0,1,0.0174000000953674,0.000199999994947575,0,1
-0.7,0.298000001907349,0,1,0.0446999979019165,0.00179999996908009,0,0
-0.7,0.187000000476837,0,0,0.0478000020980835,0.00139999995008111,1,1
-0.9,0.18400000333786,0,0,0.126899995803833,0.000600000028498471,1,1
-0.6,0.519999980926514,1,0,0.0496000003814697,0.00039999998989515,0,0
1,-0.0819999992847443,1,1,0.0125,0.0599999986588955,0,0
-1,-1.50900001525879,1,1,0.0336999988555908,0.00240000011399388,0,0
-0.7,-0.210999989509583,0,1,0.720599975585937,0,0,0
-0.8,-0.41399998664856,1,1,0.0517999982833862,0,1,1
-0.7,0.333999991416931,0,0,0.202399997711182,0.00039999998989515,1,1
-0.9,0.325,0,0,0.256399993896484,0,0,0
0.2,0.469999980926514,0,0,4.5025,0,0,0
-0.9,0.0829999983310699,0,1,0.0973999977111816,0.0015999999595806,1,1
-0.9,0.294000005722046,0,0,1.06650001525879,0.00240000011399388,0,0
-0.7,0.509000015258789,1,1,0.031800000667572,0.000199999994947575,0,0
-0.9,0.444000005722046,0,0,0.0200999999046326,0,1,1
